id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
MEX-0,2.43760758942876,0.9365452478814493,2.6027654242470937,3447.8487906154182,0.6666666666666666,0.1,1.05,0.2,10.0
MEX-1,2.57691015400162,0.8635681425830775,2.9840264212313907,3426.018507628502,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
MEX-2,1.9939863067492083,0.7595660804481862,2.6251650226042815,3418.7539845903634,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
MEX-3,2.5561933516397035,0.9844801150843215,2.596490586730402,3398.909358668993,0.6666666666666666,0.07692307692307693,1.0,0.15000000000000002,10.0
MEX-4,2.3067962226715246,0.7690732623362241,2.9994492535914445,3430.3038627934825,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
MEX-5,2.1192434899482886,0.80930577204119,2.618594310285518,3449.996173599416,0.6666666666666666,0.1,1.0,0.25,10.0
MEX-6,2.1117658724191912,0.806196980584696,2.6194167471175946,3449.9024179981807,0.6666666666666666,0.1,1.0,0.25,10.0
MEX-7,1.7168162019644715,0.6503446883285494,2.639855806890435,3311.9065495035784,0.6666666666666666,0.045454545454545456,1.05,0.25,10.0
MEX-8,2.396684294108947,0.8001627654609137,2.995245964398752,3463.922361959481,0.5384615384615384,0.1111111111111111,1.05,0.2,11.0
MEX-9,2.282771361864753,0.8747439236935947,2.609645291648076,3417.3843091129434,0.6666666666666666,0.08333333333333333,1.05,0.2,10.0
MEX-10,2.2497016532895144,0.9744986332390757,2.308573431049226,3404.038215082751,0.8181818181818182,0.07692307692307693,1.05,0.2,10.0
MEX-11,2.1473501489843585,0.9278481142525424,2.314333688886381,3432.8988571618966,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,11.0
MEX-12,2.207561515795431,0.8444017833801277,2.614349660606584,3447.57282288344,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
MEX-13,2.60120362917496,0.999087269872323,2.6035799950762835,3490.931301436623,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,9.0
MEX-14,2.3188641558166494,0.8893297250495937,2.607429045157956,3431.7095456486613,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
MEX-15,1.9383425949825233,0.7370342036608467,2.6299221736993768,3434.4345358008154,0.6666666666666666,0.09090909090909091,1.0,0.25,11.0
MEX-16,2.326572778640735,0.8920861339928597,2.6080136098823803,3446.885544731063,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
MEX-17,2.3064083350935216,0.9992878537491506,2.3080520056761293,3433.008343277028,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
MEX-18,2.2500091676956697,0.8618661487185953,2.610624829668663,3416.5351389857633,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
MEX-19,2.5987848858573437,1.0,2.5987848858573437,3436.800273165228,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
MEX-20,2.3203726176424406,1.0,2.3203726176424406,3655.9630985114804,0.8181818181818182,0.1,0.9500000000000001,0.15000000000000002,10.0
MEX-21,2.0905441535885805,0.7979945052004809,2.6197475546067466,3434.5181990078668,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
MEX-22,2.1971224267757896,0.8405479893200747,2.6139167004052415,3432.1954877617973,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
MEX-23,2.596606631986909,1.0,2.596606631986909,3427.6272866214945,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
MEX-24,2.4510587560950303,0.9421139146041122,2.601658587247377,3448.2712751286826,0.6666666666666666,0.1,1.05,0.2,10.0
MEX-25,2.3090923309605906,0.999965154218595,2.3091727958910626,3450.2699720080204,0.8181818181818182,0.1,0.9500000000000001,0.2,10.0
MEX-26,1.9434811699319556,0.7392572719797477,2.628964561589322,3418.506471775731,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.25,10.0
MEX-27,2.363769355444353,0.9071271478512599,2.605775123193575,3416.3155228917776,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
MEX-28,2.161700919722853,0.7184032026567599,3.009035750019721,3417.320535542877,0.5384615384615384,0.08333333333333333,1.05,0.25,9.0
MEX-29,2.6984101612497557,0.9060375706680778,2.9782541570103436,3411.4506096768955,0.5384615384615384,0.08333333333333333,1.0,0.15000000000000002,9.0
MEX-30,2.2485958550691985,0.9735152706239022,2.3097694745231148,3435.1874642774083,0.8181818181818182,0.09090909090909091,1.1,0.25,9.0
MEX-31,2.0398015558134035,0.7775190224457962,2.6234747921625363,3433.9935777199275,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
MEX-32,2.2809354192673013,0.9881403453171657,2.308311192915804,3432.257698173954,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,10.0
MEX-33,2.1492038063726557,0.821747754513965,2.6154057550711953,3401.71302870808,0.6666666666666666,0.07692307692307693,0.9500000000000001,0.2,10.0
MEX-34,2.314136911228151,0.7714553417409973,2.999703010683258,3445.615241092236,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
MEX-35,2.230666485631106,0.8536589229489182,2.6130652719301404,3449.3858014002144,0.6666666666666666,0.1,1.0,0.25,9.0
MEX-36,2.2388442068552448,0.8571670283972129,2.6119112526313364,3432.6528549536265,0.6666666666666666,0.09090909090909091,1.05,0.2,11.0
MEX-37,2.457946464662095,0.9443227695334974,2.6028668840383244,3463.810615490573,0.6666666666666666,0.1111111111111111,1.0,0.2,10.0
